AccountID,CustomerName,AccountType,Balance,OpenDate,Branch,Status
ACC0047,Patricia Lewis,Savings,17402.76,2025-03-17,Uptown,Active
ACC0048,Sharon Hill,Savings,30619.24,2019-04-19,Westside,Active
ACC0049,Donald Wilson,Checking,95179.24,2017-02-08,Westside,Active
ACC0050,Gary Robinson,Savings,24321.14,2021-06-15,Southside,Active
ACC0051,Steven Martinez,Checking,81883.98,2017-01-18,Northside,Active
ACC0052,Brian Richardson,Checking,6370.15,2022-04-27,Downtown,Active
ACC0053,Richard Bryant,Checking,100073.32,2022-06-11,Southside,Inactive
ACC0054,Sandra Baker,Checking,146433.28,2017-04-26,Uptown,Active
ACC0055,Emily Hernandez,Savings,117379.74,2021-10-16,Eastside,Active
ACC0056,Shirley Harris,Savings,130837.8,2016-10-12,Airport,Active
ACC0057,Stephen Sanchez,Savings,123098.4,2016-08-21,Eastside,Active
ACC0058,Carl Wright,Savings,49306.47,2016-09-18,Midtown,Inactive
ACC0059,Sarah Sanchez,Savings,101959.77,2016-12-12,Northside,Inactive
ACC0060,Steven Mitchell,Checking,87130.4,2023-06-07,Downtown,Active
ACC0061,Dorothy Sanchez,Savings,65515.44,2020-09-03,Midtown,Active
ACC0062,Stephanie Wright,Savings,6753.54,2021-07-08,Downtown,Active
ACC0063,Jerry Bryant,Checking,54696.8,2025-08-16,Northside,Active
ACC0064,Carl Garcia,Savings,76117.66,2018-12-06,Southside,Active
ACC0065,Shirley Phillips,Checking,28856.83,2018-12-14,Southside,Active
ACC0066,Charles Long,Savings,60970.67,2017-01-22,Downtown,Active
ACC0067,Richard Richardson,Savings,69801.73,2021-06-13,Eastside,Active
ACC0068,Helen Simmons,Checking,42639.58,2018-12-18,Northside,Active
ACC0069,Paul Gonzales,Savings,33773.64,2024-03-05,Uptown,Active
ACC0070,Michelle Peterson,Checking,68366.88,2016-06-21,Eastside,Active
ACC0071,Margaret James,Savings,36673.27,2019-01-19,Downtown,Active
ACC0072,Patricia Cooper,Checking,26465.41,2018-08-09,Airport,Active
ACC0073,Michelle Garcia,Savings,20087.53,2021-03-13,Northside,Inactive
ACC0074,Eric Long,Savings,124602.32,2020-04-06,Airport,Active
ACC0075,Andrew Howard,Savings,112791.34,2016-12-27,Westside,Active
ACC0076,Joshua Ramirez,Checking,41262.16,2025-07-16,Westside,Active
ACC0077,Gary Evans,Checking,20842.27,2023-10-25,Southside,Active
ACC0078,Roger Scott,Checking,62288.7,2022-09-12,Airport,Active
ACC0079,Richard Rivera,Savings,135735.29,2019-11-10,Downtown,Active
ACC0080,Stephanie Cook,Savings,983.82,2022-06-19,Westside,Active
ACC0081,Ashley Price,Checking,73285.6,2023-05-08,Southside,Active
ACC0082,Margaret Stewart,Savings,108654.79,2016-12-25,Airport,Inactive
ACC0083,Laura Price,Checking,136048.64,2019-10-09,Downtown,Active
ACC0084,Scott Lewis,Savings,27341.18,2023-06-29,Southside,Active
ACC0085,Stephen Edwards,Savings,114208.33,2022-02-27,Westside,Active
ACC0086,Ashley Carter,Checking,70598.99,2018-01-03,Downtown,Inactive
ACC0087,Timothy Green,Checking,117206.83,2019-02-06,Downtown,Active
ACC0088,Michelle Lopez,Checking,93238.21,2023-09-25,Uptown,Active
ACC0089,Steven Ross,Checking,69808.59,2023-07-15,Northside,Active
ACC0090,Sharon Hamilton,Checking,116691.0,2024-07-28,Westside,Active
ACC0091,Emily Parker,Savings,59558.5,2018-05-23,Eastside,Active
ACC0092,Ryan Hughes,Checking,15375.01,2017-09-29,Westside,Active
ACC0093,Peter Garcia,Checking,52145.84,2021-08-09,Northside,Active
ACC0094,Henry Stewart,Checking,127451.39,2017-03-09,Airport,Active
ACC0095,Jose Flores,Savings,106125.57,2021-07-11,Uptown,Active
ACC0096,Kathleen Perez,Savings,69784.58,2017-02-23,Westside,Active
ACC0097,Michelle Jackson,Savings,132256.51,2023-09-04,Airport,Active
ACC0098,Amy Cook,Savings,4402.13,2016-11-12,Northside,Active
ACC0099,Ruth Morris,Savings,51116.79,2016-07-15,Westside,Active
ACC0100,Joshua Wright,Checking,36279.27,2021-11-07,Airport,Active
ACC0101,Paul Alexander,Savings,96920.84,2020-11-26,Airport,Active
ACC0102,Mary Phillips,Checking,60719.73,2023-09-06,Westside,Active
ACC0103,Betty Peterson,Savings,63883.02,2018-01-16,Northside,Active
ACC0104,Stephen Perez,Savings,37785.41,2025-01-20,Eastside,Active
ACC0105,Jerry Alexander,Checking,28811.99,2018-02-15,Airport,Active
ACC0106,Rebecca Sanders,Savings,147078.54,2017-01-26,Eastside,Active
ACC0107,Jose Hernandez,Savings,2220.84,2020-06-02,Uptown,Active
ACC0108,David Wood,Savings,104642.87,2024-12-28,Airport,Active
ACC0109,Sarah Henderson,Savings,70462.6,2021-06-20,Northside,Active
ACC0110,David Carter,Savings,17201.66,2025-09-04,Southside,Active
ACC0111,Stephanie Hughes,Checking,22843.88,2017-04-24,Westside,Active
ACC0112,Michelle Garcia,Savings,90987.02,2017-07-17,Eastside,Active
ACC0113,Larry Howard,Savings,44673.23,2019-10-23,Southside,Active
ACC0114,Laura Taylor,Checking,142143.77,2024-01-29,Eastside,Active
ACC0115,Daniel Allen,Checking,26154.65,2025-07-26,Uptown,Active
ACC0116,Kimberly Alexander,Savings,43759.77,2023-10-24,Westside,Active
ACC0117,Shirley Ward,Checking,103139.0,2023-06-11,Eastside,Active
ACC0118,Melissa Green,Checking,136270.88,2017-02-20,Uptown,Active
ACC0119,Helen Parker,Savings,65929.1,2021-02-25,Westside,Active
ACC0120,Kenneth Watson,Savings,65720.05,2019-09-14,Downtown,Active
ACC0121,Dorothy Powell,Savings,3977.15,2023-11-04,Downtown,Inactive
ACC0122,Arthur Perez,Checking,114490.04,2024-06-11,Airport,Active
ACC0123,Eric Roberts,Checking,149542.13,2021-07-09,Airport,Inactive
ACC0124,Andrew Sanchez,Savings,50062.93,2018-11-23,Midtown,Active
ACC0125,Gary Bailey,Savings,43303.85,2021-12-01,Downtown,Active
ACC0126,Matthew Carter,Savings,17476.65,2017-09-29,Southside,Active
ACC0127,James Simmons,Savings,62045.81,2024-04-21,Northside,Active
ACC0128,Carol Hughes,Savings,114022.58,2024-02-16,Westside,Active
ACC0129,Anthony Cox,Savings,18301.77,2019-05-06,Eastside,Active
ACC0130,Deborah Wood,Checking,82882.49,2025-05-13,Eastside,Inactive
ACC0131,Steven Torres,Checking,97191.68,2024-09-06,Airport,Inactive
ACC0132,Kimberly Brooks,Savings,62382.0,2020-12-30,Airport,Active
ACC0133,Dennis Walker,Savings,28672.49,2019-09-08,Uptown,Active
ACC0134,Sarah Rivera,Savings,140143.83,2020-09-18,Westside,Active
ACC0135,Anthony Hayes,Savings,125637.64,2019-11-27,Airport,Active
ACC0136,Kimberly Price,Savings,51834.08,2020-03-21,Southside,Active
ACC0137,Dorothy Wright,Checking,85812.47,2023-10-16,Southside,Active
ACC0138,Andrew Griffin,Savings,57973.2,2018-12-19,Uptown,Active
ACC0139,Michael Robinson,Savings,130468.08,2016-08-09,Airport,Active
ACC0140,Stephen Johnson,Checking,61555.8,2019-01-25,Uptown,Active
ACC0141,Laura Stewart,Savings,97510.51,2016-11-09,Northside,Active
ACC0142,Jerry Cook,Savings,94057.2,2016-06-16,Airport,Active
ACC0143,Michael Patterson,Checking,35292.06,2018-09-25,Westside,Inactive
ACC0144,Mary Richardson,Checking,114079.42,2018-07-07,Midtown,Active
ACC0145,Ryan Campbell,Checking,6994.05,2017-06-24,Downtown,Active
ACC0146,Betty Richardson,Checking,36705.2,2021-10-15,Uptown,Active
ACC0147,Daniel Long,Savings,92994.58,2023-09-16,Airport,Inactive
ACC0148,Brian Adams,Savings,95721.9,2021-04-03,Westside,Active
ACC0149,Emily Turner,Checking,11171.9,2022-07-14,Westside,Active
ACC0150,Scott Alexander,Savings,68579.69,2023-01-08,Eastside,Inactive
ACC0151,Donna Harris,Checking,57266.51,2022-05-20,Westside,Inactive
ACC0152,Kimberly Chen,Savings,41244.61,2020-01-23,Downtown,Inactive
ACC0153,Carol Turner,Checking,91099.04,2022-06-16,Eastside,Active
ACC0154,Laura Carter,Checking,94274.39,2019-05-16,Downtown,Active
ACC0155,Eric Brown,Savings,109880.73,2025-05-25,Westside,Active
ACC0156,Ashley Hernandez,Checking,19910.75,2020-05-11,Northside,Active
ACC0157,Kenneth Young,Savings,137115.94,2021-01-02,Westside,Active
ACC0158,Lisa Martin,Savings,144437.7,2024-10-30,Eastside,Active
ACC0159,Joe Gonzales,Savings,145093.74,2017-05-21,Northside,Active
ACC0160,Jeffrey Johnson,Savings,80532.19,2021-04-23,Northside,Active
ACC0161,Arthur Mitchell,Savings,123380.35,2022-03-30,Midtown,Active
ACC0162,Andrew Davis,Savings,137296.86,2023-12-05,Midtown,Active
ACC0163,Emily Russell,Savings,97420.99,2025-02-06,Uptown,Active
ACC0164,Michael Campbell,Savings,17506.46,2023-10-11,Uptown,Active
ACC0165,Betty Foster,Savings,88142.32,2018-04-05,Uptown,Active
ACC0166,Kathleen White,Savings,92386.27,2023-04-10,Downtown,Active
ACC0167,Ruth Cox,Savings,142588.22,2016-10-25,Northside,Active
ACC0168,Angela Reed,Savings,9176.46,2023-04-25,Eastside,Inactive
ACC0169,Stephen Jackson,Checking,96291.5,2019-09-18,Downtown,Active
ACC0170,Gary Nelson,Checking,118068.02,2024-02-09,Midtown,Active
ACC0171,Dennis Hill,Checking,121976.64,2023-10-18,Northside,Active
ACC0172,Peter Mitchell,Savings,128775.08,2024-10-14,Uptown,Active
ACC0173,Charles Martin,Checking,19857.3,2022-05-23,Eastside,Active
ACC0174,Robert Hernandez,Savings,7954.61,2018-02-02,Southside,Active
ACC0175,Christopher Peterson,Savings,116724.75,2020-08-26,Midtown,Active
ACC0176,Mark Long,Checking,109113.73,2016-09-07,Westside,Active
ACC0177,Emily Taylor,Savings,127110.05,2021-08-17,Midtown,Active
ACC0178,Eric Martinez,Checking,48384.56,2024-09-29,Midtown,Active
ACC0179,Laura Flores,Savings,57197.57,2019-09-17,Westside,Active
ACC0180,Sharon Richardson,Checking,118985.1,2025-02-15,Eastside,Active
ACC0181,Sharon Bailey,Savings,124130.14,2021-12-08,Southside,Active
ACC0182,Matthew Cooper,Savings,99799.67,2022-03-18,Uptown,Active
ACC0183,Andrew Lee,Checking,124782.61,2025-05-13,Southside,Active
ACC0184,Betty Robinson,Checking,88011.12,2020-02-10,Northside,Active
ACC0185,Frank Morris,Savings,130227.01,2018-04-28,Downtown,Inactive
ACC0186,Peter Parker,Savings,15629.72,2020-09-19,Eastside,Active
ACC0187,Donna Green,Checking,52582.09,2020-03-03,Northside,Active
ACC0188,Sarah Henderson,Checking,121102.48,2016-12-06,Downtown,Active
ACC0189,Carl Alexander,Savings,4440.08,2023-05-06,Westside,Inactive
ACC0190,Timothy Mitchell,Checking,130492.42,2020-01-22,Southside,Active
ACC0191,Cynthia Davis,Checking,111942.15,2023-12-30,Southside,Active
ACC0192,Lisa Allen,Savings,46814.44,2022-10-09,Midtown,Active
ACC0193,Sandra Allen,Checking,101127.91,2023-05-11,Airport,Active
ACC0194,Raymond Powell,Savings,62186.14,2023-12-29,Midtown,Active
ACC0195,Steven Turner,Savings,79087.42,2022-12-13,Downtown,Active
ACC0196,Peter Taylor,Checking,30743.03,2024-01-15,Uptown,Active
ACC0197,Kimberly Edwards,Checking,1258.71,2018-01-12,Southside,Active
ACC0198,Larry Price,Checking,75089.33,2017-01-23,Northside,Active
ACC0199,Lisa Richardson,Checking,69017.16,2025-07-15,Northside,Active
ACC0200,Stephanie Murphy,Savings,43498.33,2021-11-12,Downtown,Inactive
ACC0201,Helen Patterson,Savings,124820.68,2022-05-08,Midtown,Active
ACC0202,Patricia Nelson,Savings,88371.81,2020-07-13,Midtown,Active
ACC0203,Deborah Hamilton,Savings,33313.65,2017-09-02,Uptown,Active
ACC0204,Cynthia Martin,Checking,135897.82,2022-06-28,Northside,Active
ACC0205,Henry Walker,Checking,15510.4,2023-07-16,Eastside,Active
ACC0206,Sandra Butler,Checking,26654.2,2017-09-28,Airport,Active
ACC0207,Walter Coleman,Savings,102201.91,2016-07-08,Northside,Active
ACC0208,Douglas Evans,Checking,66020.45,2021-02-24,Airport,Active
ACC0209,Sarah Jenkins,Checking,52856.14,2025-07-30,Westside,Active
ACC0210,Michael Taylor,Savings,124771.33,2025-07-19,Midtown,Active
ACC0211,Gregory Morgan,Savings,87091.38,2017-07-12,Downtown,Active
ACC0212,Stephanie Butler,Checking,48296.86,2021-01-27,Uptown,Inactive
ACC0213,Kimberly Harris,Savings,147359.6,2025-06-18,Uptown,Active
ACC0214,Roger Cox,Savings,78657.88,2019-07-28,Uptown,Active
ACC0215,Anthony Morgan,Savings,116192.27,2018-10-18,Downtown,Active
ACC0216,Henry Collins,Checking,49520.64,2020-02-25,Southside,Active
ACC0217,Joe Simmons,Checking,50070.97,2019-11-16,Uptown,Inactive
ACC0218,Deborah Butler,Savings,19429.85,2018-06-17,Midtown,Active
ACC0219,Larry Washington,Savings,121996.4,2018-11-23,Midtown,Active
ACC0220,Scott Brooks,Savings,2832.76,2022-12-11,Uptown,Inactive
ACC0221,Lisa Ramirez,Checking,34058.8,2024-11-12,Uptown,Active
ACC0222,Kevin Watson,Checking,99323.19,2016-07-31,Uptown,Active
ACC0223,Sandra Allen,Checking,124718.62,2017-10-05,Uptown,Active
ACC0224,Lisa Bailey,Savings,101486.8,2023-09-30,Airport,Active
ACC0225,Kimberly Adams,Checking,46489.24,2017-05-04,Airport,Inactive
ACC0226,Joseph Reed,Savings,69305.83,2023-04-01,Southside,Active
ACC0227,Ashley Allen,Checking,120208.76,2024-11-09,Westside,Active
ACC0228,Donna Reed,Checking,106739.01,2020-08-15,Midtown,Active
ACC0229,Thomas Perez,Savings,135805.4,2024-10-03,Southside,Active
ACC0230,Mark Howard,Savings,139577.74,2021-10-03,Downtown,Active
ACC0231,Betty Baker,Savings,149179.35,2022-03-16,Eastside,Active
ACC0232,Kevin Diaz,Savings,118727.96,2024-11-12,Downtown,Active
ACC0233,Andrew Russell,Checking,113850.29,2021-02-23,Airport,Active
ACC0234,Daniel Chen,Savings,32426.65,2024-09-24,Southside,Active
ACC0235,Anthony Baker,Savings,18365.07,2023-09-26,Southside,Active
ACC0236,Laura Ward,Checking,16717.6,2020-10-20,Downtown,Active
ACC0237,Stephanie Baker,Checking,43761.67,2026-05-23,Northside,Active
ACC0238,Ashley King,Checking,78570.34,2022-05-13,Midtown,Inactive
ACC0239,Melissa Watson,Checking,58629.01,2021-02-19,Downtown,Active
ACC0240,Betty Carter,Checking,53628.37,2025-08-26,Northside,Active
ACC0241,Carl Hughes,Checking,115748.06,2018-03-01,Northside,Active
ACC0242,Nancy Bennett,Savings,122044.98,2024-06-11,Airport,Inactive
ACC0243,Donna Hughes,Checking,121743.5,2025-09-13,Airport,Active
ACC0244,Carol Thompson,Checking,132879.98,2022-11-14,Westside,Active
ACC0245,Melissa Peterson,Savings,5589.45,2019-02-26,Eastside,Active
ACC0246,David Butler,Savings,41055.17,2017-06-11,Northside,Active
ACC0247,Sandra Hamilton,Savings,134206.16,2022-01-27,Northside,Inactive
ACC0248,Carol Alexander,Savings,55165.3,2017-06-20,Westside,Active
ACC0249,Brenda Cooper,Checking,64648.01,2017-03-09,Uptown,Active
ACC0250,Dorothy Harris,Checking,49255.19,2023-02-04,Westside,Active
ACC0251,Anna Cooper,Checking,103495.74,2022-06-20,Airport,Active
ACC0252,Nancy Long,Savings,41255.85,2017-07-14,Downtown,Active
ACC0253,Cynthia Murphy,Savings,77011.59,2017-12-31,Uptown,Inactive
ACC0254,Brian Powell,Savings,5316.36,2025-08-27,Eastside,Active
ACC0255,Jose Rogers,Savings,142425.12,2026-01-17,Uptown,Active
ACC0256,Betty Reed,Savings,114486.36,2019-12-22,Uptown,Active
ACC0257,Jeffrey Evans,Savings,37516.79,2025-02-19,Downtown,Active
ACC0258,Carol Kelly,Savings,137040.02,2025-02-01,Westside,Active
ACC0259,Roger Howard,Checking,149455.13,2023-03-17,Airport,Active
ACC0260,Karen Martinez,Savings,25981.19,2018-05-30,Airport,Inactive
ACC0261,Angela Evans,Savings,106460.12,2020-03-29,Westside,Active
ACC0262,Thomas Diaz,Checking,119075.09,2020-09-14,Eastside,Active
ACC0263,Carol Lewis,Checking,118576.92,2026-02-11,Northside,Active
ACC0264,Betty Torres,Checking,91831.06,2025-06-10,Midtown,Active
ACC0265,Anna Hayes,Savings,78901.78,2017-10-13,Southside,Active
ACC0266,Jessica Robinson,Savings,96386.55,2021-05-12,Airport,Active
ACC0267,Timothy Robinson,Checking,115190.47,2024-12-17,Southside,Active
ACC0268,Amanda Garcia,Checking,45688.27,2024-08-04,Northside,Inactive
ACC0269,Mark Sanchez,Savings,126905.46,2023-08-07,Eastside,Active
ACC0270,Dennis Roberts,Checking,93790.85,2019-07-09,Midtown,Active
ACC0271,Helen Jenkins,Checking,25762.97,2019-05-29,Northside,Active
ACC0272,Walter Thompson,Checking,12275.31,2019-03-20,Westside,Active
ACC0273,Stephanie Rivera,Checking,74755.91,2019-05-18,Westside,Active
ACC0274,Jason Gray,Checking,120722.75,2018-09-23,Southside,Active
ACC0275,Jessica Alexander,Checking,23796.26,2021-09-30,Airport,Active
ACC0276,Lisa Powell,Checking,46956.12,2018-05-09,Northside,Active
ACC0277,Timothy Murphy,Checking,114123.68,2020-08-19,Midtown,Active
ACC0278,Emily Garcia,Savings,67494.44,2024-10-29,Midtown,Active
ACC0279,Margaret Long,Savings,37315.72,2016-09-14,Uptown,Active
ACC0280,Stephanie Hayes,Savings,28556.13,2024-08-15,Airport,Inactive
ACC0281,Emily James,Savings,74655.8,2025-05-26,Southside,Active
ACC0282,Paul Scott,Savings,7393.85,2023-04-03,Airport,Active
ACC0283,Kathleen Gonzales,Savings,42933.68,2026-04-26,Midtown,Active
ACC0284,Laura Myers,Savings,114602.13,2022-04-22,Downtown,Active
ACC0285,Walter Barnes,Checking,54442.31,2023-03-04,Midtown,Active
ACC0286,Kimberly Wood,Savings,123814.17,2019-06-03,Midtown,Active
ACC0287,Kevin Bell,Savings,119255.09,2022-08-10,Northside,Active
ACC0288,Carol Powell,Savings,75061.68,2025-11-25,Downtown,Active
ACC0289,Gary Peterson,Savings,22426.21,2020-08-17,Uptown,Active
ACC0290,Harold Evans,Checking,59003.89,2019-06-30,Westside,Active
ACC0291,Gregory Brooks,Savings,106340.1,2023-01-18,Airport,Active
ACC0292,Betty Collins,Checking,146986.71,2019-11-12,Westside,Active
ACC0293,Joe Alexander,Checking,89576.75,2023-06-07,Eastside,Active
ACC0294,Patrick Gray,Checking,78682.43,2018-04-28,Southside,Active
ACC0295,Angela Nelson,Checking,85928.28,2018-07-21,Midtown,Active
ACC0296,Eric Evans,Savings,22799.55,2018-08-31,Eastside,Active
ACC0297,Harold Peterson,Checking,105895.71,2020-08-04,Eastside,Active
ACC0298,Carl Gray,Savings,47131.51,2024-06-19,Airport,Inactive
ACC0299,Lisa Bennett,Savings,101412.7,2016-09-05,Westside,Active
ACC0300,Joseph Nelson,Savings,83757.19,2023-11-20,Westside,Active
ACC0301,Roger Hill,Savings,47624.41,2022-07-01,Westside,Active
ACC0302,Stephanie Gonzales,Savings,134374.49,2021-12-25,Northside,Inactive
ACC0303,Brian Phillips,Checking,43215.79,2018-05-26,Midtown,Active
ACC0304,Eric Butler,Savings,112126.04,2024-01-04,Eastside,Active
ACC0305,Kenneth Barnes,Savings,20677.22,2019-07-04,Eastside,Active
ACC0306,Amy Sanders,Checking,95727.89,2025-10-26,Midtown,Active
ACC0307,Anna Peterson,Checking,102210.68,2024-11-12,Downtown,Inactive
ACC0308,Thomas Bailey,Savings,71669.53,2024-03-04,Westside,Active
ACC0309,Henry Taylor,Checking,97879.58,2023-10-21,Downtown,Inactive
ACC0310,Charles Rivera,Checking,140095.0,2026-01-01,Southside,Active
ACC0311,Donna Hamilton,Savings,131523.8,2026-04-22,Westside,Active
ACC0312,Patricia Collins,Savings,68206.93,2019-03-21,Airport,Active
ACC0313,Karen Watson,Savings,40998.28,2017-05-04,Midtown,Active
ACC0314,Brenda Ward,Savings,107817.87,2026-04-02,Northside,Active
ACC0315,Walter Gonzales,Checking,26406.69,2016-10-22,Southside,Active
ACC0316,Michelle Edwards,Checking,60184.9,2025-05-04,Uptown,Inactive
ACC0317,Donna Edwards,Checking,1123.84,2022-02-08,Eastside,Active
ACC0318,Kenneth Collins,Savings,87410.87,2019-12-26,Downtown,Active
ACC0319,Jose Alexander,Checking,9412.44,2025-01-30,Airport,Active
ACC0320,Sandra Bryant,Savings,103574.53,2019-03-31,Westside,Active
ACC0321,Mark Green,Checking,71779.47,2021-04-22,Northside,Active
ACC0322,Dennis Peterson,Checking,114302.76,2018-10-12,Midtown,Active
ACC0323,Amanda Griffin,Savings,11807.6,2020-01-31,Midtown,Active
ACC0324,Dennis Watson,Checking,85947.98,2024-09-23,Uptown,Active
ACC0325,Joshua Cox,Checking,102076.26,2018-05-15,Airport,Active
ACC0326,Michelle Howard,Checking,68069.5,2020-08-26,Southside,Active
ACC0327,Amanda Barnes,Savings,100947.88,2022-12-14,Downtown,Active
ACC0328,James Hamilton,Checking,86788.86,2025-11-25,Southside,Active
ACC0329,Christopher Bennett,Checking,140193.96,2025-08-20,Airport,Active
ACC0330,Frank King,Checking,114897.57,2018-03-25,Southside,Active
ACC0331,Larry Howard,Savings,56409.27,2018-10-02,Uptown,Active
ACC0332,Timothy Garcia,Checking,148927.73,2022-01-01,Uptown,Active
ACC0333,Mark Mitchell,Checking,146775.75,2021-03-20,Southside,Active
ACC0334,Sharon Nelson,Savings,51989.34,2023-04-26,Eastside,Inactive
ACC0335,Joe Martin,Checking,121440.78,2021-09-15,Downtown,Active
ACC0336,Christopher White,Checking,67021.52,2018-11-15,Downtown,Active
ACC0337,Lisa Murphy,Savings,35227.46,2023-12-22,Downtown,Active
ACC0338,Kimberly Adams,Savings,86663.47,2017-09-29,Northside,Active
ACC0339,Brian Simmons,Checking,62092.67,2023-04-28,Downtown,Active
ACC0340,Rebecca Ford,Checking,93936.37,2021-08-14,Airport,Active
ACC0341,Timothy Washington,Savings,117892.11,2022-11-01,Southside,Active
ACC0342,Jason Cook,Checking,113186.97,2021-02-05,Eastside,Active
ACC0343,Jason Griffin,Checking,120885.85,2025-10-05,Southside,Inactive
ACC0344,Deborah Sanders,Checking,58324.02,2023-07-20,Eastside,Active
ACC0345,Daniel Howard,Savings,13960.35,2018-04-14,Eastside,Active
ACC0346,Larry Gonzales,Checking,131055.71,2024-04-19,Eastside,Active
ACC0347,Gary Campbell,Checking,31849.99,2024-04-11,Midtown,Active
ACC0348,Donna Nelson,Checking,59555.15,2023-09-22,Northside,Active
ACC0349,Larry Torres,Savings,46332.5,2022-05-17,Airport,Active
ACC0350,Joe Peterson,Savings,137158.14,2022-04-02,Northside,Active
ACC0351,Walter Green,Checking,2531.36,2020-03-15,Southside,Active
ACC0352,Carol Collins,Checking,57037.98,2017-01-23,Eastside,Active
ACC0353,Kathleen Bryant,Savings,38673.28,2017-03-12,Airport,Inactive
ACC0354,Henry Ford,Savings,69178.27,2018-03-11,Northside,Active
ACC0355,Joe Bennett,Savings,27688.76,2016-06-08,Downtown,Active
ACC0356,Jessica Foster,Checking,114674.39,2021-10-13,Uptown,Active
ACC0357,Sharon Lee,Checking,1470.31,2020-09-26,Airport,Active
ACC0358,Laura Flores,Savings,98926.72,2026-03-26,Downtown,Active
ACC0359,Frank Johnson,Checking,79459.71,2023-04-30,Westside,Active
ACC0360,Shirley Gonzales,Savings,120944.54,2024-05-25,Midtown,Inactive
ACC0361,Amanda Hall,Checking,28870.62,2020-07-03,Westside,Active
ACC0362,Kenneth Bell,Checking,56020.43,2021-11-08,Airport,Active
ACC0363,Shirley Green,Savings,102637.84,2016-11-25,Midtown,Active
ACC0364,Kathleen Brown,Checking,60851.22,2022-03-07,Airport,Active
ACC0365,Sarah Russell,Checking,12494.65,2016-12-05,Southside,Active
ACC0366,Gary Ross,Checking,134229.2,2025-12-06,Eastside,Active
ACC0367,Ryan Ross,Savings,40737.15,2025-07-29,Westside,Active
ACC0368,Walter Simmons,Checking,26985.24,2016-11-14,Northside,Active
